route,total_price,total_flight_time,total_flight_minutes,leg1_flight,leg1_airline,leg1_departure,leg1_arrival,leg1_price,leg1_duration,leg2_flight,leg2_airline,leg2_departure,leg2_arrival,leg2_price,leg2_duration,leg3_flight,leg3_airline,leg3_departure,leg3_arrival,leg3_price,leg3_duration
CHS → NYC → AUS → BNA,817,8h 44m,524,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,JFK→AUS,Delta,11:29 AM,2:45 PM,$219,4 hr 16 min,AUS→BNA,Delta,3:11 PM,5:40 PM,$119,2 hr 29 min
CHS → NYC → AUS → BNA,817,8h 31m,511,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,JFK→AUS,Delta,11:29 AM,2:45 PM,$219,4 hr 16 min,AUS→BNA,Delta,6:35 PM,8:51 PM,$119,2 hr 16 min
CHS → NYC → AUS → BNA,817,8h 20m,500,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,JFK→AUS,Delta,11:29 AM,2:45 PM,$219,4 hr 16 min,AUS→BNA,Southwest,10:30 PM,12:35 AM,$119,2 hr 5 min
CHS → NYC → AUS → BNA,817,8h 26m,506,CHS→EWR,United,11:09 AM,1:08 PM,$509,1 hr 59 min,JFK→AUS,American,6:00 PM,9:22 PM,$189,4 hr 22 min,AUS→BNA,Southwest,10:30 PM,12:35 AM,$119,2 hr 5 min
CHS → NYC → BNA → AUS,817,7h 23m,443,CHS→JFK,Delta,6:00 AM,8:00 AM,$409,2 hr,JFK→BNA,American,8:29 AM,10:12 AM,$119,2 hr 43 min,BNA→AUS,Delta,6:20 PM,9:00 PM,$289,2 hr 40 min
CHS → NYC → BNA → AUS,817,7h 5m,425,CHS→JFK,Delta,6:00 AM,8:00 AM,$409,2 hr,LGA→BNA,Delta,5:05 PM,6:50 PM,$289,2 hr 45 min,BNA→AUS,Southwest,10:25 PM,12:45 AM,$119,2 hr 20 min
NYC → BNA → CHS → AUS,817,6h 49m,409,EWR→BNA,United,6:00 AM,7:29 AM,$89,2 hr 29 min,BNA→CHS,Southwest,9:35 AM,12:00 PM,$269,1 hr 25 min,CHS→AUS,Southwest,12:40 PM,2:35 PM,$459,2 hr 55 min
NYC → BNA → CHS → AUS,817,6h 50m,410,LGA→BNA,Southwest,6:55 AM,8:25 AM,$89,2 hr 30 min,BNA→CHS,Southwest,9:35 AM,12:00 PM,$269,1 hr 25 min,CHS→AUS,Southwest,12:40 PM,2:35 PM,$459,2 hr 55 min
NYC → BNA → CHS → AUS,817,6h 48m,408,JFK→BNA,JetBlue,7:45 AM,9:13 AM,$89,2 hr 28 min,BNA→CHS,Southwest,9:35 AM,12:00 PM,$269,1 hr 25 min,CHS→AUS,Southwest,12:40 PM,2:35 PM,$459,2 hr 55 min
CHS → NYC → ORD → AUS,817,7h 38m,458,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,LGA→ORD,United,9:10 AM,10:55 AM,$159,2 hr 45 min,ORD→AUS,American,11:05 AM,1:59 PM,$179,2 hr 54 min
CHS → NYC → ORD → AUS,817,7h 41m,461,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,LGA→ORD,United,9:10 AM,10:55 AM,$159,2 hr 45 min,ORD→AUS,American,2:52 PM,5:49 PM,$179,2 hr 57 min
CHS → NYC → ORD → AUS,817,7h 41m,461,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,LGA→ORD,United,9:10 AM,10:55 AM,$159,2 hr 45 min,ORD→AUS,American,8:54 PM,11:51 PM,$179,2 hr 57 min
CHS → NYC → ORD → AUS,817,7h 37m,457,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,EWR→ORD,United,2:36 PM,4:17 PM,$159,2 hr 41 min,ORD→AUS,American,8:54 PM,11:51 PM,$179,2 hr 57 min
CHS → NYC → ORD → AUS,817,7h 52m,472,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,LGA→ORD,Delta,6:50 PM,8:46 PM,$159,2 hr 56 min,ORD→AUS,American,8:54 PM,11:51 PM,$179,2 hr 57 min
CHS → NYC → ORD → AUS,817,7h 56m,476,CHS→LGA,Delta,3:45 PM,5:48 PM,$479,2 hr 3 min,LGA→ORD,Delta,6:50 PM,8:46 PM,$159,2 hr 56 min,ORD→AUS,American,8:54 PM,11:51 PM,$179,2 hr 57 min
AUS → ORD → NYC → CHS,817,7h 36m,456,AUS→ORD,United,8:45 AM,11:36 AM,$220,2 hr 51 min,ORD→LGA,American,2:41 PM,6:00 PM,$278,2 hr 19 min,JFK→CHS,Delta,6:23 PM,8:49 PM,$319,2 hr 26 min
CHS → ORD → NYC → BNA,818,7h 21m,441,CHS→ORD,United,6:00 AM,7:34 AM,$225,2 hr 34 min,ORD→JFK,Delta,10:24 AM,1:38 PM,$364,2 hr 14 min,LGA→BNA,Delta,1:55 PM,3:28 PM,$229,2 hr 33 min
CHS → NYC → ORD → BNA,818,6h 17m,377,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,EWR→ORD,United,11:37 AM,1:15 PM,$170,2 hr 38 min,ORD→BNA,Southwest,2:40 PM,4:20 PM,$169,1 hr 40 min
CHS → NYC → ORD → BNA,818,6h 24m,384,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,EWR→ORD,United,11:37 AM,1:15 PM,$170,2 hr 38 min,ORD→BNA,American,4:24 PM,6:11 PM,$169,1 hr 47 min
CHS → NYC → ORD → BNA,818,6h 24m,384,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,EWR→ORD,United,11:37 AM,1:15 PM,$170,2 hr 38 min,ORD→BNA,American,5:06 PM,6:53 PM,$169,1 hr 47 min
CHS → NYC → ORD → BNA,818,6h 24m,384,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,EWR→ORD,United,11:37 AM,1:15 PM,$170,2 hr 38 min,ORD→BNA,American,7:54 PM,9:41 PM,$169,1 hr 47 min
CHS → NYC → ORD → BNA,818,6h 17m,377,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,EWR→ORD,United,11:37 AM,1:15 PM,$170,2 hr 38 min,ORD→BNA,American,10:19 PM,11:59 PM,$169,1 hr 40 min
CHS → NYC → ORD → BNA,818,6h 22m,382,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,EWR→ORD,United,1:04 PM,2:40 PM,$170,2 hr 36 min,ORD→BNA,American,4:24 PM,6:11 PM,$169,1 hr 47 min
